Area,Name
1,Northeast
2,Southeast
3,Great Lakes
4,Mississippi Valley
5,Central
6,West
7,Alaska
8,Hawaii
9,Guam and the Northern Mariana Islands
10,Puerto Rico and U.S. Virgin Islands
11,American Samoa
12,Gulf of Mexico
